ID,Created_At,Text,Author,Flesch_Readability,Flesch_Grade,Gunning_FOG_Score,Automated_Readability_Index,Coleman_Liau_Index,Linsear_Write_Score,Dale_Chall_Readability
8.51767718248362E+017,2017-04-11 12:03:43,"North Korea is looking for trouble. If China decides to help, that would be great. If not, we will solve the problem without them!  U.S.A.",realDonaldTrump,88.43,3,18.12,4,6.86,3.1666666667,9.1
8.51766546825347E+017,2017-04-11 11:59:04,I explained to the President of China that a trade deal with the U.S. will be far better for them if they solve the North Korean problem!,realDonaldTrump,91.61,3.8,16.2888888889,4.7,5.97,5.75,7.81
8.51092618754892E+017,2017-04-09 15:21:07,confidence that President Al Sisi will handle situation properly.,realDonaldTrump,28.5,11.5,32.2666666667,12.9,17.66,3.5,14.61
8.51092500056072E+017,2017-04-09 15:20:39,So sad to hear of the terrorist attack in Egypt. U.S. strongly condemns. I have great,realDonaldTrump,88.74,2.9,17.7,3.2,6.05,3,8.97
8.50800045012202E+017,2017-04-08 19:58:32,Judge Gorsuch will be sworn in at the Rose Garden of the White House on Monday at 11:00 A.M. He will be a great Justice. Very proud of him!,realDonaldTrump,95.47,2.4,12.7765517241,1.4,3.45,3.8333333333,6.84
8.50785347038577E+017,2017-04-08 19:00:08,The reason you don't generally hit runways is that they are easy and inexpensive to quickly fix (fill in and top)!,realDonaldTrump,67.08,9.1,21.8285714286,10.2,8.7,12.5,9.19
8.50723509370327E+017,2017-04-08 14:54:24,"Congratulations to our great military men and women for representing the United States, and the world, so well in the Syria attack.",realDonaldTrump,49.15,11.9,25.3454545455,13.1,11.72,14,10.47
8.50722694958076E+017,2017-04-08 14:51:10,"goodwill and friendship was formed, but only time will tell on trade.",realDonaldTrump,84.68,4.4,20.1333333333,7.3,9.85,5,9.5
8.50722648883638E+017,2017-04-08 14:50:59,It was a great honor to have President Xi Jinping and Madame Peng Liyuan of China as our guests in the United States. Tremendous,realDonaldTrump,64.04,10.3,24.9333333333,11.2,8.42,12,10.09
8.48928217138385E+017,2017-04-03 16:00:33,"Getting ready to meet President al-Sisi of Egypt. On behalf of the United States, I look forward to a long and wonderful relationship.",realDonaldTrump,59.8,7.8,25.7304347826,7.3,9.78,5.25,11.76
8.48857910297981E+017,2017-04-03 11:21:11,Did Hillary Clinton ever apologize for receiving the answers to the debate? Just asking!,realDonaldTrump,40.34,11.1,30.4571428571,10.8,13.22,7,13.35
8.48856822312292E+017,2017-04-03 11:16:52,Was the brother of John Podesta paid big money to get the sanctions on Russia lifted? Did Hillary know?,realDonaldTrump,87.21,3.5,20.5368421053,4.4,6.87,3.75,9.93
8.48529014667055E+017,2017-04-02 13:34:16,The real story turns out to be SURVEILLANCE and LEAKING! Find the leakers.,realDonaldTrump,90.26,2.3,16.9076923077,4.3,7.43,2.25,8.82
8.48521325480202E+017,2017-04-02 13:03:43,"Talks on Repealing and Replacing ObamaCare are, and have been, going on, and will continue until such time as a deal is hopefully struck.",realDonaldTrump,55.58,11.5,21.6,12.9,10.57,14,8.77
8.48519587675201E+017,2017-04-02 12:56:49,Anybody (especially  Fake News media) who thinks that Repeal and Replace of ObamaCare is dead does not know the love and strength in R Party!,realDonaldTrump,54.56,11.9,23.2,12.9,9.93,15.5,9.3
8.4821902765901E+017,2017-04-01 17:02:29,"not associated with Russia. Trump team spied on before he was nominated."" If this is true, does not get much bigger. Would be sad for U.S.",realDonaldTrump,98.72,1.1,12.2923076923,2.3,4.99,2.75,7
8.48204870876357E+017,2017-04-01 16:06:14,"use subsidies to buy health plans."" In other words, Ocare is dead. Good things will happen, however, either with Republicans or Dems.",realDonaldTrump,80.99,3.8,17.6472727273,6.2,9.58,3,9.02
8.48158641056363E+017,2017-04-01 13:02:32,"It is the same Fake News Media that said there is ""no path to victory for Trump"" that is now pushing the phony Russia story. A total scam!",realDonaldTrump,82.65,5.2,17.6,4.2,5.1,6,8.28
8.4789552463213E+017,2017-03-31 19:37:00,'Trump Celebrates American Manufacturing Survey Showing Highest Level of Optimism in 20 Years' ,realDonaldTrump,32.9,11.9,31.8153846154,14.8,18.43,8.5,14
8.47766558520856E+017,2017-03-31 11:04:32,"Mike Flynn should ask for immunity in that this is a witch hunt (excuse for big election loss), by media and Dems, of historic proportion!",realDonaldTrump,63.02,10.7,21.6,12.5,9.46,13.5,8.67
8.47573358912975E+017,2017-03-30 22:16:50,and job losses. American companies must be prepared to look at other alternatives.,realDonaldTrump,47.96,8.2,23.0615384615,7.2,10.96,3.25,11.25
8.47573220417045E+017,2017-03-30 22:16:17,The meeting next week with China will be a very difficult one in that we can no longer have massive trade deficits,realDonaldTrump,66.07,9.5,23.5272727273,9.5,7.25,11,9.75
8.47435163143455E+017,2017-03-30 13:07:42,"The Freedom Caucus will hurt the entire Republican agenda if they don't get on the team, and fast. We must fight them, and Dems, in 2018!",realDonaldTrump,92.12,3.6,14.8923076923,5.4,6.83,6,7.32
8.47201455165624E+017,2017-03-29 21:39:01,Today's EO established a commission on combating drug addiction and the opioid crisis. Watch listening session,realDonaldTrump,54.9,7.6,27.7,10.5,15.1,3.5,12.92
8.4706103129378E+017,2017-03-29 12:21:02,If the people of our great country could only see how viciously and inaccurately my administration is covered by certain media!,realDonaldTrump,41.7,12.7,27.5428571429,13.1,12.3,12.5,11.45
8.46672219073864E+017,2017-03-28 10:36:02,Big announcement by Ford today. Major investment to be made in three Michigan plants. Car companies coming back to U.S.  JOBS! JOBS! JOBS!,realDonaldTrump,80.58,3.9,17.2539130435,6,9.35,3.1666666667,8.82
8.46543183223964E+017,2017-03-28 02:03:17,"The Democrats will make a deal with me on healthcare as soon as ObamaCare folds - not long. Do not worry, we are in very  good shape!",realDonaldTrump,83.66,4.8,14.8923076923,4.3,5.5,6.25,7.32
8.46537639167713E+017,2017-03-28 01:41:15,The Republican House Freedom Caucus was able to snatch defeat from the jaws of victory. After so many bad years they were ready for a win!,realDonaldTrump,75.2,6,21.0461538462,5.6,7.06,6,9.75
8.46533818811081E+017,2017-03-28 01:26:04,"Why isn't the House Intelligence Committee looking into the Bill and Hillary deal that allowed big Uranium to go to Russia, Russian speech",realDonaldTrump,48.13,12.3,26.852173913,13.8,12.25,12.5,10.96
8.46166053663191E+017,2017-03-27 01:04:42,General Kelly is doing a great job at the border. Numbers are way down. Many are not even trying to come in anymore.,realDonaldTrump,80.58,3.9,17.2539130435,1.7,4.07,2.8333333333,8.82
8.45974102619906E+017,2017-03-26 12:21:58,"Democrats are smiling in D.C. that the Freedom Caucus, with the help of Club For Growth and Heritage, have saved Planned Parenthood and Ocare!",realDonaldTrump,76.22,5.6,21.8,7.9,10.6,5,10.15
8.45766504608121E+017,2017-03-25 22:37:02,Thanks you for all of the Trump Rallies today. Amazing support. We will all MAKE AMERICA GREAT AGAIN!,realDonaldTrump,79.26,4.4,18.9333333333,5.1,8.03,4,9.35
8.45645916732359E+017,2017-03-25 14:37:52,ObamaCare will explode and we will all get together and piece together a great healthcare plan for THE PEOPLE. Do not worry!,realDonaldTrump,68.77,6.4,17.3090909091,6.1,8.68,5,8.49
8.45334323045765E+017,2017-03-24 17:59:42,"Today, I was thrilled to announce a commitment of $25 BILLION and 20K AMERICAN JOBS over the next 4 years. THANK YOU Charter Communications!",realDonaldTrump,76.22,5.6,21.8,7.6,10.14,6,10.15
8.4524958717882E+017,2017-03-24 12:23:00,"The irony is that the Freedom Caucus, which is very pro-life and against Planned Parenthood, allows P.P. to continue if they stop this plan!",realDonaldTrump,76.22,5.6,23.4666666667,7.6,10.14,5,10.81
8.45247455868391E+017,2017-03-24 12:14:32,"After seven horrible years of ObamaCare (skyrocketing premiums and deductibles, bad healthcare), this is finally your chance for a great plan!",realDonaldTrump,33.24,13.8,27.5428571429,16.4,16.42,13.5,11.45
8.44930836663357E+017,2017-03-23 15:16:24,"A great American, Kurt Cochran, was killed in the London terror attack. My prayers and condolences are with his family and friends.",realDonaldTrump,68.77,6.4,20.9454545455,7.6,10.54,5.5,9.92
8.44886082663698E+017,2017-03-23 12:18:33,Just watched the totally biased and fake news reports of the so-called Russia story on NBC and ABC. Such dishonesty!,realDonaldTrump,68.1,8.7,26,11.4,10.85,11,10.94
8.44723847094026E+017,2017-03-23 01:33:54,Spoke to U.K. Prime Minister Theresa May today to offer condolences on the terrorist attack in London. She is strong and doing very well.,realDonaldTrump,71.82,5.2,20.2,4.9,8.2,3.3333333333,9.95
8.44010257454154E+017,2017-03-21 02:18:20,"Thank you Louisville, Kentucky. Together, we will MAKE AMERICA SAFE AND GREAT AGAIN!",realDonaldTrump,56.42,7,19.9846153846,7.9,11.89,2.75,10.03
8.43873596963459E+017,2017-03-20 17:15:18,Congratulations Eric and Lara. Very proud and happy for the two of you!,realDonaldTrump,73.34,4.6,19.9846153846,3.2,6.09,2.75,10.03
8.43813078076719E+017,2017-03-20 13:14:49,"What about all of the contact with the Clinton campaign and the Russians? Also, is it true that the DNC would not let the FBI in to look?",realDonaldTrump,99.56,2.9,16.1714285714,4.1,4.92,6,7.71
8.43803115044454E+017,2017-03-20 12:35:14,Just heard Fake News CNN is doing polls again despite the fact that their election polls were a WAY OFF disaster. Much higher ratings at Fox,realDonaldTrump,92.12,3.6,16.4307692308,5.9,7.47,5.5,7.93
8.43779892776964E+017,2017-03-20 11:02:57,"The real story that Congress, the FBI and all others should be looking into is the leaking of Classified information. Must find leaker now!",realDonaldTrump,84.68,4.4,21.8,7.3,9.85,5.5,10.15
